,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,Mural,OD Immature,OD Mature
spot1,0.00012905664,2.6769494e-05,8.2367624e-05,0.00424627,0.994988,4.6656118e-05,0.00043972643,2.1287788e-05,1.9876248e-05
spot2,0.11321983,0.025589356,0.029252307,0.47967726,0.05134752,0.05729384,0.008218105,0.23540044,1.2787973e-06
spot3,0.023640677,9.354294e-07,3.507195e-06,0.5447322,0.30360767,0.0004539435,1.612826e-06,0.08390706,0.043652285
spot4,0.18192013,0.21699916,0.025363807,0.19790415,1.33843305e-05,0.02463838,0.013718417,0.23997399,0.0994686
spot5,0.18252322,0.027357707,6.510782e-05,0.3675378,7.808253e-06,0.06536726,0.0038264415,0.2315258,0.1217889
spot6,0.0063923495,0.023309113,0.07029523,0.5310936,0.19168182,4.286483e-06,0.001956604,0.1563513,0.018915713
spot7,0.1589904,1.3106409e-06,0.12515695,0.24757998,5.694343e-05,0.18052615,0.002338576,1.963968e-06,0.28534767
spot8,0.030572604,0.17856929,1.2652427e-05,0.060308754,0.5671625,0.00474288,0.0019240566,0.11183911,0.044868123
spot9,0.051890742,0.06720084,0.005326427,0.7385838,0.11608395,0.0016035934,2.8166621e-06,2.0146083e-06,0.01930577
spot10,0.052988905,0.009141805,0.015740033,0.16403127,0.51922596,0.17009644,4.5633296e-06,0.008943334,0.059827704
spot11,0.014176036,0.023939198,0.028932402,0.22446531,0.5556588,0.0012901281,0.022053447,0.12948231,2.2981517e-06
spot12,0.0022803713,0.01206879,5.9827776e-06,0.3199093,0.6068608,0.0036904828,0.004301586,0.0055231755,0.04535949
spot13,0.047389608,0.033385843,0.033309557,0.27059054,0.53181624,2.9756575e-06,0.002380662,0.081122145,2.3890304e-06
spot14,0.0443004,0.056163833,0.0517989,0.359763,0.37559083,0.006006693,0.019344367,0.08703,2.0160783e-06
spot15,0.045554794,0.04467181,0.03424877,0.3473604,0.33142686,0.033006977,0.011614709,0.09780359,0.054312043
spot16,0.09995232,1.7058994e-06,0.01376924,0.031263266,0.24140345,0.12857401,0.008643931,0.15049036,0.32590172
spot17,0.16073138,0.10702678,0.022021865,0.097200684,0.36006382,0.021395473,0.0032900781,9.466858e-07,0.22826898
spot18,0.14333494,0.21264209,0.048266906,0.13739339,0.28340563,0.067846455,0.015617796,0.091487326,5.4159545e-06
spot19,0.027608702,0.031875756,1.3164214e-06,0.12271679,6.2978415e-06,0.15078475,0.004303944,0.07052861,0.5921738
spot20,0.07767828,0.046833266,2.3215007e-06,0.025184484,6.2959616e-06,0.14222257,0.0049301363,0.009627378,0.69351536
spot21,0.15530139,0.19756259,1.121032e-05,0.14049032,3.6000707e-05,0.020723406,0.0025304651,0.0056987107,0.4776459
spot22,0.12632646,0.19680005,2.2885154e-06,0.029048532,0.082569934,0.12135703,0.005912259,0.06759138,0.37039208
spot23,0.13624533,0.17386603,0.057750236,0.24049437,0.29027098,0.09895029,0.002419594,2.684393e-06,4.6382445e-07
spot24,0.0072468584,2.4984076e-06,0.0349289,0.28104648,0.5428827,0.003671233,0.009814431,0.12024164,0.0001653037
spot25,0.050674446,0.09483335,0.04447885,0.36612543,0.3120044,0.05040629,0.012035959,0.06944095,4.1877556e-07
spot26,0.11636436,0.003725174,0.041005604,0.111233234,0.41606385,0.2691767,0.0056968243,4.5288375e-06,0.036729913
spot27,0.038916584,0.108973384,0.033488665,0.17608759,0.50545365,0.032750733,1.154318e-05,7.997747e-07,0.104317084
spot28,0.06539787,6.328966e-07,0.01254418,0.19939695,0.5973887,0.0057180305,0.0034828756,0.08444642,0.031624258
