"","V1","V2"
"spot157",1927.1239951,-2157.857618
"spot158",1927.1239951,-2057.857618
"spot159",1827.1239951,-2257.857618
"spot160",1827.1239951,-2357.857618
"spot161",1927.1239951,-2357.857618
"spot162",1927.1239951,-2257.857618
"spot163",1827.1239951,-2457.857618
"spot164",1827.1239951,-2557.857618
"spot165",1927.1239951,-2457.857618
"spot166",1927.1239951,-2557.857618
"spot167",1827.1239951,-2657.857618
"spot168",1827.1239951,-2757.857618
"spot169",1927.1239951,-2757.857618
"spot170",1927.1239951,-2657.857618
"spot171",1827.1239951,-2857.857618
"spot172",1827.1239951,-2957.857618
"spot173",1927.1239951,-2957.857618
"spot174",1927.1239951,-2857.857618
"spot175",1827.1239951,-3057.857618
"spot176",1927.1239951,-3057.857618
"spot177",2027.1239951,-3057.857618
"spot178",2127.1239951,-3057.857618
"spot179",2027.1239951,-2857.857618
"spot180",2027.1239951,-2957.857618
"spot181",2127.1239951,-2957.857618
"spot182",2127.1239951,-2857.857618
"spot183",2027.1239951,-2757.857618
"spot184",2027.1239951,-2657.857618
"spot185",2127.1239951,-2657.857618
"spot186",2127.1239951,-2757.857618
"spot187",2027.1239951,-2557.857618
"spot188",2027.1239951,-2457.857618
"spot189",2127.1239951,-2557.857618
"spot190",2127.1239951,-2457.857618
"spot191",2027.1239951,-2257.857618
"spot192",2027.1239951,-2357.857618
"spot193",2127.1239951,-2357.857618
"spot194",2127.1239951,-2257.857618
"spot195",2027.1239951,-2057.857618
"spot196",2027.1239951,-2157.857618
"spot197",2127.1239951,-2057.857618
"spot198",2127.1239951,-2157.857618
"spot199",2027.1239951,-1857.857618
"spot200",2027.1239951,-1957.857618
"spot201",2127.1239951,-1857.857618
"spot202",2127.1239951,-1957.857618
"spot203",2027.1239951,-1757.857618
"spot204",2027.1239951,-1657.857618
"spot205",2127.1239951,-1757.857618
"spot206",2127.1239951,-1657.857618
"spot207",2027.1239951,-1557.857618
"spot208",2127.1239951,-1557.857618
"spot209",2227.1239951,-1557.857618
"spot210",2327.1239951,-1557.857618
"spot211",2227.1239951,-1657.857618
"spot212",2227.1239951,-1757.857618
"spot213",2327.1239951,-1657.857618
"spot214",2327.1239951,-1757.857618
"spot215",2227.1239951,-1857.857618
"spot216",2227.1239951,-1957.857618
"spot217",2327.1239951,-1857.857618
"spot218",2327.1239951,-1957.857618
"spot219",2227.1239951,-2157.857618
"spot220",2227.1239951,-2057.857618
"spot221",2327.1239951,-2157.857618
"spot222",2327.1239951,-2057.857618
"spot223",2227.1239951,-2257.857618
"spot224",2227.1239951,-2357.857618
"spot225",2327.1239951,-2357.857618
"spot226",2327.1239951,-2257.857618
"spot227",2227.1239951,-2557.857618
"spot228",2227.1239951,-2457.857618
"spot229",2327.1239951,-2457.857618
"spot230",2327.1239951,-2557.857618
"spot231",2227.1239951,-2757.857618
"spot232",2227.1239951,-2657.857618
"spot233",2327.1239951,-2757.857618
"spot234",2327.1239951,-2657.857618
"spot235",2227.1239951,-2857.857618
"spot236",2227.1239951,-2957.857618
"spot237",2327.1239951,-2857.857618
"spot238",2327.1239951,-2957.857618
"spot239",2227.1239951,-3057.857618
"spot240",2327.1239951,-3057.857618
"spot241",2427.1239951,-3057.857618
"spot242",2427.1239951,-2957.857618
"spot243",2427.1239951,-2857.857618
"spot244",2427.1239951,-2657.857618
"spot245",2427.1239951,-2757.857618
"spot246",2427.1239951,-2557.857618
"spot247",2427.1239951,-2457.857618
"spot248",2427.1239951,-2257.857618
"spot249",2427.1239951,-2357.857618
"spot250",2427.1239951,-2057.857618
"spot251",2427.1239951,-2157.857618
"spot252",2427.1239951,-1957.857618
"spot253",2427.1239951,-1857.857618
"spot254",2427.1239951,-1757.857618
"spot255",2427.1239951,-1657.857618
"spot256",2427.1239951,-1557.857618
