"","V1","V2"
"spot1",927.1239951,-3057.857618
"spot2",927.1239951,-2957.857618
"spot3",927.1239951,-2857.857618
"spot4",927.1239951,-2657.857618
"spot5",927.1239951,-2757.857618
"spot6",927.1239951,-2557.857618
"spot7",927.1239951,-2457.857618
"spot8",927.1239951,-2257.857618
"spot9",927.1239951,-2357.857618
"spot10",927.1239951,-2157.857618
"spot11",927.1239951,-2057.857618
"spot12",927.1239951,-1957.857618
"spot13",927.1239951,-1857.857618
"spot14",927.1239951,-1757.857618
"spot15",927.1239951,-1657.857618
"spot16",927.1239951,-1557.857618
"spot17",1027.1239951,-1557.857618
"spot18",1127.1239951,-1557.857618
"spot19",1027.1239951,-1657.857618
"spot20",1027.1239951,-1757.857618
"spot21",1127.1239951,-1757.857618
"spot22",1127.1239951,-1657.857618
"spot23",1027.1239951,-1857.857618
"spot24",1027.1239951,-1957.857618
"spot25",1127.1239951,-1857.857618
"spot26",1127.1239951,-1957.857618
"spot27",1027.1239951,-2157.857618
"spot28",1027.1239951,-2057.857618
"spot29",1127.1239951,-2057.857618
"spot30",1127.1239951,-2157.857618
"spot31",1027.1239951,-2357.857618
"spot32",1027.1239951,-2257.857618
"spot33",1127.1239951,-2257.857618
"spot34",1127.1239951,-2357.857618
"spot35",1027.1239951,-2557.857618
"spot36",1027.1239951,-2457.857618
"spot37",1127.1239951,-2457.857618
"spot38",1127.1239951,-2557.857618
"spot39",1027.1239951,-2657.857618
"spot40",1027.1239951,-2757.857618
"spot41",1127.1239951,-2657.857618
"spot42",1127.1239951,-2757.857618
"spot43",1027.1239951,-2857.857618
"spot44",1027.1239951,-2957.857618
"spot45",1127.1239951,-2857.857618
"spot46",1127.1239951,-2957.857618
"spot47",1027.1239951,-3057.857618
"spot48",1127.1239951,-3057.857618
"spot49",1227.1239951,-3057.857618
"spot50",1327.1239951,-3057.857618
"spot51",1227.1239951,-2857.857618
"spot52",1227.1239951,-2957.857618
"spot53",1327.1239951,-2957.857618
"spot54",1327.1239951,-2857.857618
"spot55",1227.1239951,-2757.857618
"spot56",1227.1239951,-2657.857618
"spot57",1327.1239951,-2757.857618
"spot58",1327.1239951,-2657.857618
"spot59",1227.1239951,-2457.857618
"spot60",1227.1239951,-2557.857618
"spot61",1327.1239951,-2557.857618
"spot62",1327.1239951,-2457.857618
"spot63",1227.1239951,-2357.857618
"spot64",1227.1239951,-2257.857618
"spot65",1327.1239951,-2357.857618
"spot66",1327.1239951,-2257.857618
"spot67",1227.1239951,-2157.857618
"spot68",1227.1239951,-2057.857618
"spot69",1327.1239951,-2057.857618
"spot70",1327.1239951,-2157.857618
"spot71",1227.1239951,-1957.857618
"spot72",1227.1239951,-1857.857618
"spot73",1327.1239951,-1957.857618
"spot74",1327.1239951,-1857.857618
"spot75",1227.1239951,-1757.857618
"spot76",1227.1239951,-1657.857618
"spot77",1327.1239951,-1657.857618
"spot78",1327.1239951,-1757.857618
"spot79",1227.1239951,-1557.857618
"spot80",1327.1239951,-1557.857618
"spot81",1427.1239951,-1557.857618
"spot82",1527.1239951,-1557.857618
"spot83",1427.1239951,-1657.857618
"spot84",1427.1239951,-1757.857618
"spot85",1527.1239951,-1757.857618
"spot86",1527.1239951,-1657.857618
"spot87",1427.1239951,-1957.857618
"spot88",1427.1239951,-1857.857618
"spot89",1527.1239951,-1957.857618
"spot90",1527.1239951,-1857.857618
"spot91",1427.1239951,-2057.857618
"spot92",1427.1239951,-2157.857618
"spot93",1527.1239951,-2157.857618
"spot94",1527.1239951,-2057.857618
"spot95",1427.1239951,-2257.857618
"spot96",1427.1239951,-2357.857618
"spot97",1527.1239951,-2257.857618
"spot98",1527.1239951,-2357.857618
"spot99",1427.1239951,-2457.857618
"spot100",1427.1239951,-2557.857618
"spot101",1527.1239951,-2457.857618
"spot102",1527.1239951,-2557.857618
"spot103",1427.1239951,-2657.857618
"spot104",1427.1239951,-2757.857618
"spot105",1527.1239951,-2657.857618
"spot106",1527.1239951,-2757.857618
"spot107",1427.1239951,-2957.857618
"spot108",1427.1239951,-2857.857618
"spot109",1527.1239951,-2857.857618
"spot110",1527.1239951,-2957.857618
"spot111",1427.1239951,-3057.857618
"spot112",1527.1239951,-3057.857618
"spot113",1627.1239951,-3057.857618
"spot114",1727.1239951,-3057.857618
"spot115",1627.1239951,-2857.857618
"spot116",1627.1239951,-2957.857618
"spot117",1727.1239951,-2857.857618
"spot118",1727.1239951,-2957.857618
"spot119",1627.1239951,-2757.857618
"spot120",1627.1239951,-2657.857618
"spot121",1727.1239951,-2657.857618
"spot122",1727.1239951,-2757.857618
"spot123",1627.1239951,-2557.857618
"spot124",1627.1239951,-2457.857618
"spot125",1727.1239951,-2557.857618
"spot126",1727.1239951,-2457.857618
"spot127",1627.1239951,-2257.857618
"spot128",1627.1239951,-2357.857618
"spot129",1727.1239951,-2357.857618
"spot130",1727.1239951,-2257.857618
"spot131",1627.1239951,-2157.857618
"spot132",1627.1239951,-2057.857618
"spot133",1727.1239951,-2057.857618
"spot134",1727.1239951,-2157.857618
"spot135",1627.1239951,-1857.857618
"spot136",1627.1239951,-1957.857618
"spot137",1727.1239951,-1857.857618
"spot138",1727.1239951,-1957.857618
"spot139",1627.1239951,-1657.857618
"spot140",1627.1239951,-1757.857618
"spot141",1727.1239951,-1757.857618
"spot142",1727.1239951,-1657.857618
"spot143",1627.1239951,-1557.857618
"spot144",1727.1239951,-1557.857618
"spot145",1827.1239951,-1557.857618
"spot146",1927.1239951,-1557.857618
"spot147",1827.1239951,-1657.857618
"spot148",1827.1239951,-1757.857618
"spot149",1927.1239951,-1757.857618
"spot150",1927.1239951,-1657.857618
"spot151",1827.1239951,-1957.857618
"spot152",1827.1239951,-1857.857618
"spot153",1927.1239951,-1857.857618
"spot154",1927.1239951,-1957.857618
"spot155",1827.1239951,-2057.857618
"spot156",1827.1239951,-2157.857618
