"","Astrocyte","Endothelial","Ependymal","Excitatory","Inhibitory","Microglia","Mural","OD Immature","OD Mature"
"spot1",0.0135079505941226,9.03433842783926e-11,3.50302828503082e-10,0.176126427922071,0.810365620638138,5.43020911440558e-11,1.01687859045777e-10,1.42397921765758e-10,1.06635001173948e-10
"spot2",0.106291599912156,0.027188516839686,4.72839754367123e-09,0.504944428718396,0.232664780859306,0.0108258811414946,0.00718878977303316,0.110895997271667,7.55864238327431e-10
"spot3",0.0500224710394258,0.00201091829670419,7.94337795993276e-08,0.72189155127752,0.173448187180287,1.80133959829352e-08,1.93320991654632e-08,0.0526266903188919,6.5107896075922e-08
"spot4",0.146743946860533,0.0916232202436595,4.28521520679275e-08,0.361423335341084,0.294418241457685,0.00619184550471039,0.00558664411355635,0.0940127066465362,1.69800835758205e-08
"spot5",0.193112446291677,0.036850495683845,6.6695018711234e-10,0.520100322476051,0.0799248077328361,0.0184289495852651,0.00545013153943693,0.134418409996882,0.0117144360270557
"spot6",0.0387771682501492,0.0211789198116368,0.0141039067925703,0.619702409314725,0.220430940121152,0.000245975849037984,0.00525336668830055,0.0803073129748228,1.97605536627946e-10
"spot7",0.219868803237775,0.00274525558222117,0.006588581198212,0.389689562458652,0.271247581422462,0.0430633331905425,0.00266825766872958,3.67327970238752e-09,0.0641286215681256
"spot8",0.075052059089178,0.124710484568212,1.04792972698613e-09,0.299357548185906,0.416461411926522,0.000551513672479587,0.00463849218613988,0.0792284886200536,7.03579147123341e-10
"spot9",0.0821715991799061,0.0630148452613414,8.9017626444436e-10,0.7012248147423,0.151583736568136,0.000435180508229013,0.00156982199619712,5.48086169107073e-10,3.0562803134814e-10
"spot10",0.0916117486051775,0.0156990240144512,6.95399289633567e-09,0.4431376325084,0.38339587424481,0.0470304364997245,0.000394413148923585,0.0145700877206575,0.00416077630386337
"spot11",0.0438194572397795,0.0204275564632636,3.48930325582306e-09,0.476114183227834,0.359755331315639,0.00174363815246324,0.0231880588398251,0.0749517710726695,1.99222727861316e-10
"spot12",0.0213034551622682,0.00893080351620513,1.29077038035084e-09,0.597400298214005,0.361070493562433,0.00169523760753403,0.00289552172911316,0.00670418865197304,2.65698853335905e-10
"spot13",0.0754386104601884,0.0232768863239383,2.22214677336519e-07,0.47860345644708,0.36244424547086,1.67284485265503e-08,0.00315111084258696,0.0570854467692471,4.74297367277068e-09
"spot14",0.100896249335069,0.0514667209413877,0.00252074625290457,0.640620625490039,0.10031445648247,0.00170231621914018,0.0208384622704278,0.0816403987510949,2.42574671752353e-08
"spot15",0.0811098029639564,0.0688964436424774,5.55430957940899e-09,0.525994293089021,0.194104510490138,0.00463390628897402,0.00729807722805083,0.113622214349191,0.00434074639388204
"spot16",0.168903612581849,0.00766504350108849,0.00153992073251229,0.217417645936203,0.156880489003424,0.0569766001471062,0.000634694813945053,0.192980015240533,0.19700197804334
"spot17",0.210588418459577,0.1338211702172,1.88251304551823e-09,0.310293592692232,0.228948252438601,1.88382696147069e-10,9.29421651627729e-10,1.60617060820884e-10,0.116348563031455
"spot18",0.202756956705619,0.220672058736391,1.07132505656287e-07,0.325531692703432,0.114320159618309,0.0329204086254001,0.014715114574885,0.0890834856094219,1.62940363487062e-08
"spot19",0.0590161108464272,0.0477734843418608,5.90882204063204e-09,0.207675875481722,1.75854700450168e-08,0.0431820510917637,0.000664275846659185,0.070301288558595,0.57138689033868
"spot20",0.114775957081983,0.0623005844150505,2.23092921777426e-07,0.0939548154646528,1.42464180104665e-07,0.037762183156995,0.00201034011125883,0.0115492574489591,0.677646496763999
"spot21",0.191808194010165,0.251664747552797,2.37688093164497e-09,0.205892616793103,2.95426979296464e-09,3.54298674794307e-10,6.15545031916356e-10,0.00681122459337166,0.343823210749568
"spot22",0.250209326625408,0.261547397947411,3.8179338433104e-07,0.109579515537555,4.45259901040635e-07,0.0633576990140101,1.55094075511577e-07,0.109794257046297,0.205510821681959
"spot23",0.206205810415946,0.158559238996839,1.77839910144576e-07,0.487211817909563,0.106359261978848,0.0389641371723864,0.00269878376488118,7.64653835787261e-07,7.26779005202238e-09
"spot24",0.0538266221121544,0.00509640217018158,1.77881479741841e-07,0.564745187567835,0.265529853804102,0.00150733877411806,0.00956054510447619,0.0997338674038973,5.18175527076493e-09
"spot25",0.0909303671628344,0.078565744808441,3.69156368756156e-07,0.532115947162329,0.209421188922314,0.0159006041735156,0.0139449146947251,0.0591208459478859,1.79715853257205e-08
"spot26",0.190259181195101,0.00850859569717321,0.00691383504925969,0.427880799158796,0.317442536894844,0.033137480903489,0.00691717823232835,0.00894037842943103,1.44395780396923e-08
"spot27",0.101927067753974,0.0863732397387328,9.84574093199462e-09,0.461412195652354,0.314425295702555,0.0129987168760075,0.000198123384912108,4.88785614554742e-09,0.0226653461578671
"spot28",0.103289025891627,0.000566667612133908,4.61650410707671e-08,0.548061497600071,0.282493507222033,0.00231736561962919,0.0054922820025313,0.0577796042569508,3.62998271570439e-09
"spot29",0.100469668209461,0.00394921096605884,3.30654964944705e-08,0.280181178013468,0.506199637455598,0.00271060838248216,0.00554453094411972,0.10094512936953,3.59378548489252e-09
"spot30",0.0761482342441484,0.0376779083429974,1.78535316028531e-07,0.233438251041156,0.564042191736863,0.01128589996987,0.00588793663444608,0.071519373711657,2.57835465755243e-08
"spot31",0.0687011546954588,0.0415838162837294,1.31175142868506e-08,0.4481770878502,0.379033641453363,0.00129754129915432,0.0104100875102102,0.0507966383195431,1.94708264035097e-08
"spot32",0.0963958228335577,0.0626191513791604,6.25278464343149e-10,0.45983939057154,0.36901694518883,0.00463153421014504,0.00749714306862433,1.18755100238413e-08,2.47354253183349e-10
"spot33",0.331014558152098,0.0427565738602419,9.52661195394258e-10,0.237363562019758,0.357401724504956,0.00210674426952209,0.00410459553355663,0.0252522404149767,2.92228667890282e-10
"spot34",0.13362888957342,0.0484977487648083,4.38332150359141e-09,0.272460097540832,0.532790757386423,0.0114932095785665,0.00112928915201516,2.74271944542391e-09,8.77894164733595e-10
"spot35",0.0582523386011518,0.0146418518008401,1.31633674933863e-07,0.609612828594405,0.266367912621677,0.00289900111103643,0.00191287483938435,0.0463130305737195,3.02241108324346e-08
"spot36",0.0260829559975381,0.00570226349546793,3.1270966386758e-08,0.72201605885687,0.233118453516913,0.000484270295801458,0.000340429166557308,0.012255534661147,2.73873929808718e-09
"spot37",0.025460600191646,0.0152003076693809,6.24196824449249e-09,0.760516289556877,0.190328720331775,0.00328861100359981,0.00356695387920096,0.00163850994607194,1.17948039281865e-09
"spot38",0.166685981868805,0.00315287165945403,1.3806109199663e-08,0.471280906866956,0.224611622160927,0.0171697126138606,0.00213259131852676,0.114966294989102,4.71625833192641e-09
"spot39",0.110705594865701,0.0345003841372555,4.28499227890491e-09,0.489575226655348,0.35110765502131,0.00960861972948324,0.00450251271875017,1.3228018056611e-09,1.26435820569167e-09
"spot40",0.0802007523198553,0.121370603184052,1.71536222799577e-08,0.374082107861267,0.371120868727106,0.00301555839507566,0.0075180692338161,0.0426920192895699,3.8356346519232e-09
"spot41",0.249498115702965,0.00251437263780639,1.70121685013615e-10,0.6410612213157,0.104491162032679,1.64727938301693e-10,0.00243512657714637,1.3595844657285e-09,3.92693116491056e-11
"spot42",0.081967536618434,0.0137099318348885,5.98250421748071e-08,0.536141452324515,0.208153723717439,0.014077059741822,0.0685215750334776,0.077428405418098,2.55486283847842e-07
"spot43",0.0587900977642744,0.0559924639142994,1.23114983667005e-08,0.537729026920585,0.325815086002745,0.00091132356351483,0.0155213449340587,0.00524062276736019,2.18216636443615e-08
"spot44",0.210048472459795,0.117413101208288,1.29417472075999e-07,0.317209094769228,0.324877265134493,0.0189662921293355,0.00739272787693893,0.000325052461416225,0.00376786454303345
"spot45",0.173501807034331,0.00734838644452179,3.19317010539633e-09,0.414781755343894,0.383149130452294,0.000417112873237897,0.00659672067435843,0.0142050837035736,2.80618813609179e-10
"spot46",0.0133854104440903,0.0153045774541834,0.0112838487598699,0.493865651740328,0.431368216021925,0.00367201472656143,0.00704273981569,0.024077445980544,9.50568075058869e-08
"spot47",0.0350025260639619,0.00325829057722733,2.13087979073259e-08,0.349631099693332,0.520546366280288,0.000474059689768987,0.00286238189074025,0.0882252530349727,1.46091153819696e-09
"spot48",0.0558489091109308,2.05975399741821e-08,0.0667673539643523,0.497029911233387,0.159129615853712,0.0138063725052859,0.00229757868952137,0.0148544107974038,0.190265827247867
"spot49",0.0171935971419835,0.00849910475187194,4.30933966855883e-08,0.515106089368323,0.200754556850226,0.0322221695749208,0.00255635572735913,0.144699444852923,0.0789686386389958
"spot50",0.446762811638198,1.3395332038052e-08,4.98331918975973e-07,0.238965571106815,0.01676945181789,0.0311384446798465,1.40479912084704e-08,1.90647072707649e-08,0.266363175917301
