"","spot_1","spot_2","spot_3","spot_4","spot_5","spot_6","spot_7","spot_8","spot_9","spot_10","spot_11","spot_12","spot_13","spot_14","spot_15","spot_16","spot_17","spot_18","spot_19","spot_20","spot_21","spot_22","spot_23","spot_24","spot_25","spot_26","spot_27","spot_28","spot_29","spot_30","spot_31","spot_32","spot_33","spot_34","spot_35","spot_36","spot_37","spot_38","spot_39","spot_40","spot_41","spot_42","spot_43","spot_44","spot_45","spot_46","spot_47","spot_48","spot_49","spot_50","spot_51","spot_52","spot_53","spot_54","spot_55","spot_56","spot_57","spot_58","spot_59","spot_60","spot_61","spot_62","spot_63","spot_64","spot_65","spot_66","spot_67","spot_68","spot_69"
"Tshz1",0,1,1,3,6,1,2,0,1,4,3,1,0,0,4,4,7,7,6,3,0,0,2,3,0,2,4,1,0,3,3,3,1,2,5,0,2,3,3,5,1,4,1,0,2,5,4,0,1,1,1,2,1,0,1,2,0,0,1,4,8,0,3,0,3,2,0,2,1
"Fnbp1l",0,1,3,2,7,0,1,1,3,3,1,0,2,0,0,2,2,4,0,3,0,5,3,0,2,1,2,0,6,4,1,2,3,2,1,2,3,5,1,3,0,3,7,2,3,0,0,0,1,1,1,2,1,1,3,1,1,0,2,3,1,0,2,1,2,1,3,2,1
"Adamts15",0,1,1,1,3,0,1,2,2,3,1,0,0,0,0,0,0,3,1,3,1,0,2,1,1,1,1,0,0,2,2,3,2,3,1,2,0,0,0,2,1,0,0,3,1,2,0,2,1,3,2,1,0,2,2,2,0,0,0,1,2,0,1,0,0,5,0,1,1
"Cldn12",0,1,0,2,1,0,2,4,1,1,2,2,1,2,2,0,1,1,2,2,0,2,1,1,0,0,4,2,2,0,0,2,4,0,0,3,0,1,3,2,3,0,0,0,1,0,1,0,0,0,1,2,0,3,0,2,0,0,1,1,0,1,0,0,1,0,2,3,1
"Rxfp1",1,3,5,4,1,0,2,0,2,5,4,0,2,1,0,4,2,5,4,2,2,2,4,1,0,1,2,2,1,1,1,3,1,1,1,1,3,2,6,1,3,2,0,3,3,0,0,3,3,0,1,0,1,1,0,1,0,3,3,1,2,1,3,0,6,1,2,1,2
"Sema3c",1,1,2,1,4,1,1,1,1,0,1,1,2,2,1,1,3,1,0,2,1,1,0,1,1,0,2,1,7,2,2,2,3,2,2,2,1,1,1,1,0,3,3,1,1,2,0,0,1,0,0,2,0,1,1,2,0,1,2,0,4,0,1,1,0,0,4,3,1
"Apbb1ip",2,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,2,1,2,1,0,0,0,3,1,2,0,3,0,0,0,3,1,2,1,1,0,3,1,2,0,1,0,0,0,0,1,1,0,1,0,0,2,2,0,2,0,2,2,1,2,0,2,2
"Frem2",0,5,2,1,3,4,0,2,1,6,1,2,2,2,2,2,2,0,1,2,2,1,1,6,2,2,3,3,1,1,2,5,2,2,0,2,1,5,3,4,3,1,3,2,5,2,1,3,1,0,2,1,2,3,2,1,1,3,0,1,3,0,1,3,1,0,2,0,0
"Deptor",0,1,3,0,0,0,0,2,4,0,2,1,0,0,1,3,1,1,1,3,2,3,1,0,0,0,0,1,1,1,1,3,1,2,2,2,1,0,2,0,0,0,0,2,1,1,2,1,0,1,1,3,1,2,0,2,1,1,1,0,0,1,1,4,1,0,1,0,1
"Klhl13",0,3,3,2,1,2,1,1,1,1,1,0,2,4,2,2,3,2,2,1,4,2,1,3,3,0,0,0,2,1,2,2,5,2,1,1,1,1,2,3,2,1,3,4,1,1,2,2,1,3,2,4,2,5,2,1,0,2,3,2,1,0,2,1,3,2,2,1,1
"Tnfaip8l3",0,3,2,1,2,1,1,2,2,6,2,2,2,2,0,4,0,0,0,0,1,2,0,0,4,3,3,0,1,1,2,1,0,2,4,0,3,1,3,0,1,2,3,1,0,1,2,1,0,4,4,2,4,8,5,1,1,4,3,3,1,1,3,2,1,1,0,1,4
"Ascl1",0,1,0,0,3,0,0,1,0,0,3,0,2,2,1,1,3,0,2,2,0,0,0,1,5,1,0,0,3,1,2,1,1,2,1,0,0,1,2,0,1,1,1,2,0,1,1,1,2,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,2,4,2,2,1
"Atp1b2",2,7,8,10,22,9,15,3,5,3,8,8,20,28,10,7,12,10,19,14,8,20,9,10,10,12,7,36,8,13,14,15,27,21,20,18,13,13,7,16,15,26,10,6,8,20,22,3,15,20,16,12,12,12,5,3,3,5,7,14,28,0,1,9,15,8,6,27,58
"Tmem132e",0,3,3,0,2,0,2,0,0,0,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,1,4,1,2,2,1,0,0,2,1,1,2,0,1,3,0,2,7,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,4,2,0,5,1,3
"Prkar2b",1,4,1,3,1,2,1,1,1,1,1,0,5,0,3,2,2,0,1,1,1,2,1,0,2,3,3,0,4,4,4,0,0,0,1,0,2,2,2,3,1,0,2,1,3,2,1,3,3,2,2,2,0,1,2,1,1,1,4,2,2,2,3,3,2,6,1,0,0
"Necab1",0,4,3,0,1,0,2,3,2,1,0,1,1,2,3,1,2,1,4,0,1,2,2,3,1,1,4,0,3,0,1,1,2,0,1,0,2,1,4,3,3,0,0,1,3,1,4,0,1,0,2,2,2,2,4,0,1,3,4,2,0,0,1,2,1,4,4,1,0
"Nr2f2",0,2,3,4,2,1,3,3,0,0,1,1,1,2,2,1,2,1,3,3,1,2,0,1,1,2,1,2,0,0,1,3,0,2,0,1,0,2,2,2,5,2,1,2,0,1,1,1,1,0,1,3,1,0,2,0,0,0,2,1,2,1,1,1,2,1,3,2,3
"Shisa9",0,0,5,1,6,0,3,3,3,4,1,2,2,2,1,1,1,0,3,5,3,0,0,2,6,3,0,0,3,2,3,2,3,4,2,3,1,1,2,1,2,2,1,5,2,2,3,2,3,3,3,3,2,1,4,0,1,1,1,3,5,1,2,3,3,1,6,0,1
"Vat1l",0,2,1,2,2,0,0,0,3,1,4,2,1,0,0,3,0,2,0,0,2,2,1,1,1,0,0,0,1,1,2,2,0,1,0,2,0,0,2,0,1,0,2,0,1,1,1,4,1,0,0,2,1,0,5,1,0,1,0,0,0,2,0,1,0,0,1,0,2
"Pcdh18",0,1,3,0,1,2,1,4,1,0,1,1,1,1,0,2,0,0,1,2,0,4,2,1,2,2,2,0,1,3,0,0,1,0,1,1,2,1,1,0,3,0,2,4,0,1,2,1,1,0,2,2,4,2,5,1,0,4,1,1,5,0,1,3,0,0,0,2,0
"Dpysl5",0,2,2,1,2,1,2,5,0,4,2,4,5,1,2,3,0,3,3,2,3,3,0,2,2,1,9,1,1,0,3,2,2,0,2,2,6,2,0,2,8,6,2,1,0,1,0,6,2,4,1,0,6,4,9,0,1,2,3,4,0,0,1,1,1,2,6,3,2
"Cxcl14",0,0,0,3,1,1,1,0,2,6,5,1,0,6,0,1,1,0,5,1,1,0,0,3,2,0,2,2,10,0,3,1,1,1,3,0,2,2,2,2,0,5,8,4,2,1,3,1,1,2,1,4,2,1,1,0,0,3,2,0,1,1,2,1,2,1,3,0,4
"Ptprf",0,3,2,3,2,3,3,4,3,3,3,1,2,1,2,5,3,8,1,4,3,2,5,4,3,3,1,1,5,5,3,2,5,6,3,5,3,2,1,4,1,2,3,1,3,2,5,4,4,7,7,1,4,4,3,1,0,5,3,2,3,1,2,2,5,3,10,5,3
"Cers5",0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,2,1,1,0,2,2,1,1,1,1,0,0,1,2,1,0,1,1,1,0,1,2,0,1,1,0,2,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,1,2,3,1,3,0,1,3,1,1,0
"Nacc2",0,2,0,0,0,1,0,4,2,4,2,0,3,4,1,4,1,1,1,3,3,1,1,3,1,0,0,3,1,4,3,3,0,1,3,2,5,1,1,2,0,4,7,1,1,2,3,5,2,2,6,3,4,6,0,2,1,9,3,3,5,0,2,2,5,3,1,1,2
"Cntnap2",0,0,2,2,0,0,0,2,0,0,0,2,1,0,1,2,2,0,3,0,1,1,0,0,1,0,3,0,2,1,1,2,0,3,0,0,1,0,1,0,0,0,3,0,1,0,2,0,0,1,0,5,2,2,1,1,0,3,3,1,1,0,4,1,2,0,1,1,0
"Asic4",0,3,1,0,4,1,1,1,0,0,3,2,2,1,8,3,3,1,3,1,1,0,0,2,0,0,0,0,3,3,2,2,0,1,0,2,1,1,4,3,0,4,7,2,2,1,0,0,0,0,0,2,0,2,0,1,0,4,4,1,1,1,1,1,2,1,4,0,0
"Tph2",0,1,1,2,0,2,3,0,0,1,0,1,2,0,4,2,0,4,1,0,0,1,2,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,2,1,0,0,0,2,1,1,0,0,3,0,0,0,3,0,5,0,0,1,2,0,3,0,0,4,0,0,0,0,0
"Nr2e1",0,1,2,2,2,1,1,0,1,1,3,0,1,4,5,0,0,1,1,3,1,4,1,0,2,0,1,5,1,3,1,3,2,2,3,0,3,0,1,2,2,2,5,2,1,3,1,1,0,1,0,0,2,1,2,1,0,0,1,1,1,0,2,0,2,2,4,2,3
"Bmp3",0,0,2,1,1,0,0,0,0,0,2,0,1,1,0,1,0,3,1,4,0,0,1,1,0,2,3,1,3,2,1,3,0,0,1,0,0,1,3,3,0,3,1,0,0,1,0,1,1,1,1,3,0,2,3,0,2,0,1,2,2,1,1,0,0,2,1,0,3
"B3galnt1",0,2,3,1,2,0,2,1,5,0,3,2,3,1,5,3,0,1,1,3,4,5,2,0,2,0,4,1,4,5,0,2,5,2,2,2,2,1,2,6,3,1,4,0,3,2,1,0,1,3,0,2,1,3,0,1,1,5,3,2,2,1,4,1,2,0,2,4,0
"Kcnn1",0,2,0,1,1,0,0,1,0,3,1,0,1,0,3,0,1,2,4,0,1,1,0,3,0,0,1,0,4,0,1,0,3,2,3,0,0,0,1,2,2,0,1,2,0,1,0,1,1,1,5,0,2,1,4,0,0,2,1,0,3,3,2,2,0,1,6,1,0
"Fam19a2",0,0,2,0,2,3,0,0,2,3,3,3,0,0,2,0,4,2,0,3,0,1,0,1,1,2,3,0,3,1,2,1,2,0,2,1,2,0,1,2,0,0,2,0,2,2,3,2,0,2,3,1,1,5,0,0,2,4,3,0,2,1,3,2,1,1,2,2,1
"Samd4",0,3,4,5,0,1,1,3,0,1,2,1,1,2,1,3,3,2,1,1,0,2,3,0,2,0,1,2,3,2,2,2,0,2,2,3,0,1,1,1,1,1,1,3,0,0,2,4,2,1,2,2,2,0,3,1,0,1,2,0,4,0,1,0,1,1,2,0,0
"Egln3",0,2,0,3,0,0,0,2,1,0,0,1,0,0,0,2,1,0,5,1,2,0,2,0,1,0,0,2,2,0,2,0,0,2,1,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,1,0,1,0,1,1,0,4,1,2,2
"Bmper",0,2,3,0,2,0,0,1,1,4,2,1,2,0,1,1,0,1,3,1,1,1,1,1,0,1,3,2,0,0,2,1,2,0,0,0,1,0,0,0,0,0,2,5,2,0,0,0,1,4,0,1,0,1,0,1,0,0,0,1,0,1,1,0,2,1,4,3,2
"Cd200",0,1,0,5,2,1,5,5,4,3,4,5,4,0,3,2,3,1,3,2,3,2,8,3,5,5,4,0,5,6,6,2,4,4,7,5,5,3,2,4,4,3,4,5,4,4,4,5,4,5,1,5,2,4,4,5,2,7,4,5,3,1,3,7,3,7,6,4,5
"P2ry1",0,2,0,1,1,2,1,2,2,2,4,2,2,0,1,2,1,0,0,3,0,0,0,1,3,0,1,0,1,1,6,1,0,0,1,2,1,1,3,1,2,0,1,1,2,0,1,1,2,1,2,0,1,2,3,1,1,1,1,2,5,1,3,1,1,1,4,1,1
"Sorcs1",0,2,0,4,0,3,0,1,0,2,3,0,4,1,4,5,2,2,4,2,1,3,0,2,4,2,5,0,3,2,3,3,5,2,2,1,2,2,4,5,2,2,5,5,1,2,6,2,3,4,3,1,3,2,2,1,2,0,1,2,4,0,2,1,2,0,0,2,1
"Htr3a",0,2,5,1,2,0,1,2,3,0,1,0,2,2,0,1,0,0,1,2,0,0,1,0,0,1,2,0,0,2,2,0,1,2,0,0,0,0,0,3,2,2,9,1,1,0,1,2,2,0,1,1,1,0,2,0,0,1,1,2,1,0,0,2,1,1,2,1,0
"Tmem41b",0,0,0,0,0,1,0,1,1,1,0,1,2,0,2,0,1,1,0,1,1,1,0,0,1,0,0,0,3,0,1,1,0,0,1,0,1,2,1,0,0,0,2,0,0,3,2,2,1,2,1,2,2,0,2,0,0,0,2,1,1,0,2,1,0,1,1,0,0
"Cdh9",0,1,2,2,1,2,1,1,1,2,0,2,1,0,3,4,0,0,1,1,2,0,2,1,0,1,3,0,0,0,0,1,3,0,0,3,1,1,0,0,2,1,2,1,0,2,1,0,2,2,1,2,0,1,0,0,0,3,1,0,0,0,2,1,0,2,2,0,1
"Ppp2r3d",0,0,1,4,1,0,0,2,2,0,2,1,0,1,1,1,0,0,0,0,1,0,0,0,3,0,3,0,0,1,3,2,2,2,2,1,1,1,0,1,1,1,2,1,2,1,0,1,3,0,2,1,1,1,2,3,0,1,1,2,0,0,2,2,1,2,2,1,3
"Usp28",0,2,3,2,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,3,3,0,2,0,2,3,0,0,1,1,1,3,1,2,0,1,2,3,3,2,0,3,3,1,0,0,0,3,2,2,1,1,1,1,0,1,0,3,1,0,2,0,2,0,2,2,2,1,5
"Trib2",0,2,3,4,1,1,3,2,1,2,0,3,0,2,7,1,2,3,6,3,1,0,2,1,1,1,0,3,6,1,2,4,4,1,5,0,4,2,1,2,0,2,5,3,0,1,2,3,0,2,4,1,1,4,1,0,0,5,2,0,1,0,1,0,0,1,0,1,0
"L2hgdh",0,2,0,5,2,0,0,1,2,0,3,0,3,1,3,3,2,1,1,1,0,0,2,1,1,2,4,1,1,2,1,2,1,2,1,2,0,1,2,1,2,1,1,1,0,2,1,2,0,1,2,2,1,1,2,0,0,0,1,1,2,0,1,3,1,2,2,3,0
"Cited2",0,2,3,4,4,0,2,6,4,1,1,2,5,3,4,1,1,3,4,1,2,0,2,4,6,3,1,1,2,7,3,6,4,8,8,10,6,5,6,1,4,0,4,3,1,5,6,5,6,2,7,3,1,4,4,2,0,4,0,4,0,0,1,2,2,2,3,3,4
"Btbd11",0,0,1,1,0,3,2,3,5,1,2,3,3,2,0,1,0,1,1,2,2,3,3,2,0,1,2,0,4,0,1,1,1,1,1,1,3,1,1,0,0,2,0,1,1,1,4,5,3,1,2,2,1,0,1,0,0,4,0,0,0,0,5,1,0,1,1,0,0
"Rgs12",0,3,9,0,2,2,0,2,2,3,0,0,1,5,2,2,3,0,2,3,4,2,0,4,0,1,0,0,7,2,5,3,1,2,1,1,1,2,4,2,1,4,4,3,2,0,1,0,0,0,0,2,2,1,3,4,0,3,1,3,0,0,0,2,0,4,10,2,2
"Cnr1",0,1,5,1,1,2,1,3,0,2,2,0,0,4,0,1,4,1,0,1,4,3,1,2,0,2,8,1,4,0,2,1,1,1,0,3,0,2,1,1,0,1,1,2,3,2,1,1,5,1,1,0,0,1,8,0,0,0,1,0,1,0,0,3,1,1,7,0,4
"Kcnd3",0,1,1,6,3,2,0,4,1,0,2,1,2,3,1,4,2,0,0,5,3,2,6,2,4,1,5,0,2,3,1,1,3,1,1,1,2,3,1,4,4,2,2,4,2,0,2,2,2,3,1,3,2,1,4,4,0,2,2,1,4,2,2,2,0,2,2,1,6
"Htr3b",0,1,0,1,0,0,1,2,1,1,0,0,0,0,1,0,1,2,0,0,0,0,2,0,2,0,0,0,0,1,2,2,0,2,2,0,0,0,2,0,1,0,1,2,0,0,3,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,2,2
"Sulf2",0,2,1,3,3,3,1,9,5,2,1,0,3,1,3,0,3,3,8,4,5,6,4,3,3,7,1,2,2,2,3,1,3,6,4,6,3,4,5,1,3,3,4,1,3,3,1,6,11,3,7,2,2,4,7,2,0,1,4,2,9,2,6,12,5,3,2,6,0
"Capn5",0,2,4,5,2,1,3,3,0,6,4,1,1,2,1,4,2,0,2,2,2,1,2,0,3,1,6,4,4,1,1,3,0,2,4,4,3,1,4,1,5,2,2,4,3,2,0,6,2,6,2,1,4,2,3,0,0,2,3,4,6,1,2,1,4,1,4,1,1
"Osbpl5",0,2,0,1,4,0,1,1,1,1,0,1,3,0,1,3,3,2,5,6,4,3,3,2,3,1,3,0,2,2,4,5,2,0,0,2,4,0,3,1,1,0,5,5,1,4,5,3,3,1,3,3,1,3,3,2,0,2,1,1,0,1,3,3,4,2,6,1,2
"Nr2f1",0,15,9,10,16,8,8,0,13,10,13,4,4,4,10,9,11,13,18,13,3,8,10,9,7,1,18,16,11,7,14,14,16,13,9,3,6,15,6,10,0,12,7,6,13,18,28,3,7,4,8,6,11,3,7,2,0,3,3,7,2,3,5,3,5,7,8,5,1
"Galnt14",0,1,0,2,1,2,0,0,0,2,1,0,2,0,1,0,0,2,1,1,0,0,2,0,2,0,2,0,1,0,1,3,3,1,0,1,1,1,2,0,3,4,2,0,0,1,0,0,0,2,0,1,0,0,1,4,0,1,5,4,0,1,3,2,1,3,4,0,6
"Slc35f1",0,2,1,1,1,2,1,1,3,3,3,2,2,2,1,4,3,4,2,1,2,0,1,1,4,4,5,0,2,0,2,1,2,5,2,3,3,2,3,4,6,1,1,2,3,2,2,5,4,0,4,4,2,5,6,3,0,8,4,4,0,1,1,4,1,3,2,6,0
"Mmgt1",0,0,0,1,2,0,0,0,0,1,4,0,1,0,2,2,0,1,2,0,1,1,0,0,1,0,1,0,1,1,0,2,2,1,1,2,2,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,2,1,0,0,0,1,0,2,1,0,2,0,1,2,0,1
"Htr7",0,4,4,2,1,1,0,1,1,2,2,1,3,2,0,1,3,1,2,0,4,2,0,1,0,3,1,0,1,1,0,0,3,3,2,1,2,1,0,2,1,0,2,2,0,3,0,2,3,0,0,0,2,0,0,0,1,1,2,2,2,0,0,3,1,0,3,0,0
"Racgap1",0,4,1,1,1,2,1,4,2,0,3,0,0,1,1,1,1,1,3,1,0,0,2,2,2,1,2,0,1,4,2,1,1,1,0,1,0,1,1,0,1,3,2,2,1,0,0,0,2,0,1,4,2,1,1,2,0,1,2,1,3,2,1,2,0,3,1,1,0
"Arhgap24",0,1,1,0,2,1,0,0,0,0,4,0,1,1,0,2,0,1,3,1,0,0,2,1,3,0,5,5,0,3,1,0,0,1,2,2,1,1,3,0,0,3,2,1,1,2,0,4,1,0,1,0,1,2,0,0,0,2,3,1,2,0,0,1,0,0,2,0,1
"Maml3",0,0,2,2,5,0,0,1,1,3,0,1,0,0,1,1,2,3,0,1,3,4,3,3,3,2,0,2,4,1,0,0,2,0,1,1,3,1,3,1,1,4,3,0,0,3,0,1,1,3,1,2,2,2,1,0,0,0,2,0,1,0,1,4,3,1,0,4,5
"Gng2",0,2,5,1,2,1,0,2,4,7,7,2,4,2,2,1,3,2,2,2,4,5,3,2,2,7,10,1,1,4,3,3,3,1,7,7,4,5,10,4,4,1,8,4,7,2,5,2,1,6,3,2,11,2,8,2,0,3,8,7,0,0,6,4,4,5,9,5,2
"Tnc",0,2,1,0,1,0,0,0,1,2,0,0,0,3,0,1,0,0,0,0,1,1,1,1,0,1,0,2,4,0,0,2,0,2,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,2,1,2,3,5,0,0,0,2,2,1,2,2
"Fndc3a",0,2,2,0,2,0,1,2,0,1,1,1,1,1,4,2,2,0,2,0,5,0,3,2,1,1,1,0,1,1,1,0,1,3,1,0,3,0,2,1,2,2,3,3,1,5,0,1,2,0,0,2,0,1,1,0,1,3,0,1,2,0,1,1,0,0,2,1,1
"Npas3",0,1,1,0,1,2,0,2,1,0,1,2,0,1,2,0,1,1,5,0,1,2,3,1,0,3,2,1,1,0,3,1,1,2,1,1,0,1,1,2,2,2,1,1,1,1,3,1,3,0,5,1,1,1,1,0,0,2,2,1,2,0,0,1,2,1,3,1,4
"Celf6",0,1,3,1,1,2,2,1,2,1,1,6,1,3,5,0,2,1,2,2,6,4,2,6,4,1,0,1,1,3,0,2,4,3,1,2,2,2,1,2,2,1,3,3,4,3,1,3,3,4,2,2,0,1,5,2,0,4,5,1,1,1,2,3,0,0,5,6,5
"Inpp4b",0,3,2,2,1,2,2,0,1,1,3,3,0,0,0,5,3,3,2,1,3,2,1,3,1,1,2,1,1,1,2,1,2,0,1,0,1,1,2,1,0,3,1,3,0,1,2,2,0,2,0,4,3,1,3,0,1,2,3,3,3,2,0,4,0,1,1,0,1
"Npas1",0,1,8,0,1,0,0,4,1,2,2,5,1,3,3,2,3,1,3,0,1,2,6,0,3,0,0,2,6,2,0,0,0,2,1,2,0,0,1,1,1,4,6,0,2,1,0,2,2,2,1,1,2,2,15,0,0,0,2,1,0,3,0,2,2,2,19,7,1
"Ache",0,3,10,9,2,0,2,10,3,3,3,4,1,7,8,7,8,4,5,2,10,4,7,4,4,1,4,0,9,5,4,5,2,4,4,9,2,5,8,2,3,6,7,4,3,4,4,8,10,4,6,2,2,3,5,4,0,3,2,4,7,1,2,5,3,3,6,2,1
"Sel1l3",0,2,2,2,2,0,0,2,2,1,0,2,4,2,1,0,5,1,1,0,3,2,2,0,4,3,2,0,0,2,0,0,1,2,3,1,3,4,2,0,1,0,2,2,2,3,1,0,2,2,3,1,0,1,3,2,0,0,2,3,1,2,2,2,0,3,3,0,0
"Adarb2",0,2,6,1,4,0,1,0,0,2,4,0,1,10,8,2,1,0,0,4,2,2,2,1,0,0,5,0,6,1,3,0,2,5,0,0,0,1,2,1,4,6,6,0,1,2,2,0,1,0,1,0,1,4,3,0,0,3,1,2,4,0,0,2,0,6,16,1,1
"Chrna4",0,0,1,0,2,0,2,2,2,6,4,4,6,1,3,1,0,2,1,2,2,0,2,4,1,2,0,0,5,2,1,1,0,0,1,2,3,2,4,4,4,0,3,0,1,2,1,2,3,2,2,5,2,3,6,3,0,2,6,1,2,1,5,3,2,4,4,4,6
"Csdc2",0,3,2,8,6,2,5,1,2,2,6,3,5,2,5,5,2,3,6,7,6,7,4,1,4,10,8,0,1,5,6,6,3,9,3,4,4,7,5,6,3,1,6,4,7,6,2,3,6,5,6,6,8,3,3,1,1,8,4,4,3,2,1,1,6,5,9,4,5
"Rph3a",0,1,4,12,12,1,3,12,11,9,14,7,17,4,4,0,8,10,5,10,10,14,17,4,24,24,22,2,2,5,8,4,7,7,15,16,17,8,8,13,28,6,8,5,6,8,8,12,17,18,17,14,16,9,15,5,0,7,8,16,8,4,5,18,14,12,12,17,9
"Olfm2",0,5,8,11,10,4,2,10,9,8,12,2,9,3,7,9,11,13,13,9,8,8,10,15,16,9,6,2,13,8,12,8,8,11,6,3,9,9,9,12,8,1,10,16,15,10,22,7,16,9,14,9,14,5,7,7,4,6,13,10,7,3,4,10,3,8,16,8,6
"Pcp4l1",2,7,10,11,2,11,2,7,6,3,7,5,1,10,5,9,0,3,4,1,5,4,6,3,3,11,5,2,8,6,3,3,3,16,17,5,2,6,10,4,4,8,16,3,1,5,7,8,9,5,17,26,3,1,6,2,2,13,1,4,1,1,7,3,1,8,20,3,2
"Ablim1",0,3,0,0,3,3,4,3,1,3,3,3,2,1,0,0,3,2,0,1,1,4,2,2,2,0,3,0,2,1,4,1,1,3,4,0,2,2,2,6,4,2,2,0,0,2,3,3,4,1,2,1,3,3,8,4,0,2,1,2,4,1,1,5,1,1,6,2,3
"Igf1",0,4,1,3,1,2,2,2,3,2,1,2,3,0,4,2,0,0,2,4,0,2,0,2,1,3,0,1,0,5,1,0,0,1,1,1,1,1,2,1,1,1,0,1,3,1,1,0,2,2,2,2,0,2,0,1,0,1,0,6,0,0,2,0,0,0,5,3,2
"Sorcs2",0,0,4,2,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,1,0,0,1,0,2,0,1,1,0,0,0,1,0,1,2,3,1,2,3,0,0,0,0,1,1,3,2,0,0,0,1,0,0,2,0,1,3,2,0,0,0,0,1,0,1,2,0
"Ddah1",0,1,3,0,0,0,2,1,4,4,3,0,2,0,2,2,1,1,1,4,2,1,2,7,3,1,1,0,2,1,0,0,1,0,4,3,0,2,1,3,2,0,1,2,1,1,1,2,0,0,0,0,2,0,2,1,0,1,2,3,4,0,2,4,0,2,3,5,3
"Adra1b",0,3,3,5,2,1,1,7,5,3,4,0,1,3,2,3,1,3,1,7,4,0,1,1,0,4,1,1,6,1,3,0,2,3,4,3,3,3,0,2,3,8,2,1,1,2,2,3,7,5,2,3,2,2,5,2,0,2,2,5,1,1,4,2,3,0,2,7,1
"Vash2",0,0,3,2,2,0,2,1,1,1,5,0,2,0,3,1,4,2,0,0,0,1,2,2,0,0,0,1,0,0,0,0,1,2,1,2,0,2,1,1,0,0,1,1,1,1,0,0,0,1,2,1,1,3,4,0,0,3,1,1,0,0,0,5,2,0,0,0,0
"Zfp518b",0,1,1,2,4,0,2,0,0,0,2,0,4,0,2,1,5,2,3,1,1,2,4,1,0,3,2,0,1,1,2,1,1,2,2,0,0,3,2,1,1,0,1,3,1,1,2,2,0,1,1,2,1,4,3,3,2,0,1,0,2,2,2,3,1,2,4,2,0
"Magi3",0,0,1,1,1,0,0,0,0,1,3,0,1,1,0,0,1,1,0,0,0,1,1,3,1,1,0,0,0,0,1,2,0,1,0,0,0,0,2,1,1,0,2,0,1,1,0,2,2,1,1,0,2,1,4,1,0,1,2,3,1,2,0,0,0,2,3,0,3
"Capza1",0,2,0,0,2,0,0,3,0,2,1,0,3,0,5,4,1,0,1,0,0,3,1,1,0,1,2,0,2,2,3,1,1,0,1,2,2,3,3,2,3,3,0,3,0,1,2,2,3,2,0,1,1,2,3,4,0,1,2,1,0,0,1,0,2,0,1,0,1
"Asic1",0,3,2,1,1,1,0,1,0,3,3,1,2,1,2,2,2,4,3,3,3,3,2,0,3,2,2,0,0,2,2,3,5,1,2,1,6,0,1,0,3,1,1,3,3,2,3,4,2,0,2,5,5,0,5,0,2,2,3,4,10,0,1,5,1,1,2,2,1
"Gng4",0,2,0,1,3,0,1,1,5,2,2,2,2,2,4,1,1,0,1,3,1,3,4,4,2,2,2,0,5,1,1,2,2,0,0,2,3,1,3,0,3,1,4,2,3,5,1,0,2,0,3,3,0,1,3,3,1,4,4,3,1,0,2,4,1,1,3,1,4
"Bend4",0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,3,1,0,1,0,3,1,0,1,1,0,0,1,0,0,2,0,0,1,3,0,0,1,1,0,2,1,3,0,0,0,0,1,1,1,2,1,1,0,2,0,0,0,2,0,0,0,0,3,0,0,0,2
"Stat5b",0,4,0,1,0,1,1,2,2,3,1,2,2,0,1,1,1,1,2,1,1,0,0,1,1,0,0,2,2,4,1,3,2,0,2,1,2,0,0,1,1,2,0,3,0,1,2,2,2,0,2,0,3,1,5,1,0,1,3,1,0,1,0,5,0,2,5,2,2
"Cntn4",0,1,4,0,2,0,0,2,2,2,1,0,0,0,0,4,4,1,4,1,3,0,1,1,1,1,2,0,1,3,3,3,2,1,4,1,2,2,1,0,3,0,1,5,0,1,4,1,2,2,3,1,1,4,0,1,1,2,2,4,2,3,0,0,5,4,0,0,1
"Slc35f4",0,2,1,0,0,0,2,0,0,3,0,1,0,1,1,1,0,2,3,1,2,1,0,1,1,0,2,0,0,4,0,0,2,0,0,0,2,0,0,0,1,0,1,2,3,0,1,0,0,0,2,0,4,2,2,0,0,1,2,3,2,0,0,1,0,1,0,3,0
"Frmd7",0,0,1,0,0,0,2,1,3,0,2,2,0,3,2,1,0,0,2,0,2,0,1,3,0,0,1,1,2,1,2,4,2,2,1,6,0,0,1,0,0,2,1,1,1,0,0,0,1,3,0,3,0,0,1,0,0,1,1,0,0,2,3,1,3,3,0,1,1
